"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","","#N/A"
"Akron","OH","1600000US3901000","","","","","","#N/A"
"Albuquerque","NM","1600000US3502000","","","","","","#N/A"
"Alexandria","VA","1600000US5101000","","","","","","6.319525835"
"Allentown","PA","1600000US4202000","","","","","","#N/A"
"Amarillo","TX","1600000US4803000","","","","","","#N/A"
"Anaheim","CA","1600000US0602000","","","","","","#N/A"
"Anchorage","AK","1600000US0203000","","","","","","#N/A"
"Ann Arbor","MI","1600000US2603000","","","","","","#N/A"
"Antioch","CA","1600000US0602252","","","","","","4.308797127"
"Arlington","TX","1600000US4804000","","","","","","#N/A"
"Arvada","CO","1600000US0803455","","","","","","#N/A"
"Atlanta","GA","1600000US1304000","","","","","","#N/A"
"Aurora (CO)","CO","1600000US0804000","","","","","","#N/A"
"Aurora (IL)","IL","1600000US1703012","","","","","","#N/A"
"Austin","TX","1600000US4805000","","","","","","#N/A"
"Bakersfield","CA","1600000US0603526","","","","","","#N/A"
"Baltimore","MD","1600000US2404000","","","","","","0.229414543"
"Baton Rouge","LA","1600000US2205000","","","","","","1.488310804"
"Bayam<U+0086>n","PR","1600000US7206593","","","","","","0.086658526"
"Beaumont","TX","1600000US4807000","","","","","","14.10822938"
"Bellevue","WA","1600000US5305210","","","","","","0.892074575"
"Berkeley","CA","1600000US0606000","","","","","","0.017890002"
"Billings","MT","1600000US3006550","","","","","","#N/A"
"Birmingham","AL","1600000US0107000","","","","","","#N/A"
"Boise City","ID","1600000US1608830","","","","","","#N/A"
"Boston","MA","1600000US2507000","","","","","","3.662416709"
"Bridgeport","CT","1600000US0908000","","","","","","4.022668658"
"Brownsville","TX","1600000US4810768","","","","","","0.094221625"
"Buffalo","NY","1600000US3611000","","","","","","#N/A"
"Burbank","CA","1600000US0608954","","","","","","#N/A"
"Burlington","VT","1600000US5010675","","","","","","#N/A"
"Cambridge","MA","1600000US2511000","","","","","","#N/A"
"Cape Coral","FL","1600000US1210275","","","","","","8.594272897"
"Carlsbad","CA","1600000US0611194","","","","","","2.349544347"
"Carolina","PR","1600000US7214290","","","","","","7.765141462"
"Carrollton","TX","1600000US4813024","","","","","","#N/A"
"Cedar Rapids","IA","1600000US1912000","","","","","","#N/A"
"Centennial","CO","1600000US0812815","","","","","","#N/A"
"Chandler","AZ","1600000US0412000","","","","","","#N/A"
"Charleston (SC)","SC","1600000US4513330","","","","","","49.71494354"
"Charleston (WV)","WV","1600000US5414600","","","","","","#N/A"
"Charlotte","NC","1600000US3712000","","","","","","#N/A"
"Chattanooga","TN","1600000US4714000","","","","","","#N/A"
"Chesapeake","VA","1600000US5116000","","","","","","13.49647226"
"Cheyenne","WY","1600000US5613900","","","","","","#N/A"
"Chicago","IL","1600000US1714000","","","","","","#N/A"
"Chula Vista","CA","1600000US0613392","","","","","","0.858544245"
"Cincinnati","OH","1600000US3915000","","","","","","#N/A"
"Clarksville","TN","1600000US4715160","","","","","","#N/A"
"Clearwater","FL","1600000US1212875","","","","","","7.261213433"
"Cleveland","OH","1600000US3916000","","","","","","#N/A"
"Colorado Springs","CO","1600000US0816000","","","","","","#N/A"
"Columbia (MO)","MO","1600000US2915670","","","","","","#N/A"
"Columbia (SC)","SC","1600000US4516000","","","","","","#N/A"
"Columbus (GA)","GA","1600000US1319000","","","","","","#N/A"
"Columbus (OH)","OH","1600000US3918000","","","","","","#N/A"
"Concord","CA","1600000US0616000","","","","","","0.000791966"
"Coral Springs","FL","1600000US1214400","","","","","","#N/A"
"Corona","CA","1600000US0616350","","","","","","#N/A"
"Corpus Christi","TX","1600000US4817000","","","","","","6.435122728"
"Costa Mesa","CA","1600000US0616532","","","","","","0.233143793"
"Dallas","TX","1600000US4819000","","","","","","#N/A"
"Daly City","CA","1600000US0617918","","","","","","0.221099781"
"Davenport","IA","1600000US1919000","","","","","","#N/A"
"Dayton","OH","1600000US3921000","","","","","","#N/A"
"Denton","TX","1600000US4819972","","","","","","#N/A"
"Denver","CO","1600000US0820000","","","","","","#N/A"
"Des Moines","IA","1600000US1921000","","","","","","#N/A"
"Detroit","MI","1600000US2622000","","","","","","#N/A"
"Downey","CA","1600000US0619766","","","","","","#N/A"
"Durham","NC","1600000US3719000","","","","","","#N/A"
"El Monte","CA","1600000US0622230","","","","","","#N/A"
"El Paso","TX","1600000US4824000","","","","","","#N/A"
"Elgin","IL","1600000US1723074","","","","","","#N/A"
"Elizabeth","NJ","1600000US3421000","","","","","","1.789306429"
"Elk Grove","CA","1600000US0622020","","","","","","#N/A"
"Escondido","CA","1600000US0622804","","","","","","#N/A"
"Eugene","OR","1600000US4123850","","","","","","#N/A"
"Evansville","IN","1600000US1822000","","","","","","#N/A"
"Everett","WA","1600000US5322640","","","","","","5.795524436"
"Fairfield","CA","1600000US0623182","","","","","","0.012789126"
"Fargo","ND","1600000US3825700","","","","","","#N/A"
"Fayetteville","NC","1600000US3722920","","","","","","#N/A"
"Fontana","CA","1600000US0624680","","","","","","#N/A"
"Fort Collins","CO","1600000US0827425","","","","","","#N/A"
"Fort Lauderdale","FL","1600000US1224000","","","","","","21.61606268"
"Fort Wayne","IN","1600000US1825000","","","","","","#N/A"
"Fort Worth","TX","1600000US4827000","","","","","","#N/A"
"Fremont","CA","1600000US0626000","","","","","","1.498084104"
"Fresno","CA","1600000US0627000","","","","","","#N/A"
"Frisco","TX","1600000US4827684","","","","","","#N/A"
"Fullerton","CA","1600000US0628000","","","","","","#N/A"
"Gainesville","FL","1600000US1225175","","","","","","#N/A"
"Garden Grove","CA","1600000US0629000","","","","","","#N/A"
"Garland","TX","1600000US4829000","","","","","","#N/A"
"Glendale (AZ)","AZ","1600000US0427820","","","","","","#N/A"
"Glendale (CA)","CA","1600000US0630000","","","","","","#N/A"
"Grand Prairie","TX","1600000US4830464","","","","","","#N/A"
"Grand Rapids","MI","1600000US2634000","","","","","","#N/A"
"Green Bay","WI","1600000US5531000","","","","","","#N/A"
"Greensboro","NC","1600000US3728000","","","","","","#N/A"
"Gresham","OR","1600000US4131250","","","","","","0.112526073"
"Hampton","VA","1600000US5135000","","","","","","0.030638819"
"Hartford","CT","1600000US0937000","","","","","","8.368925037"
"Hayward","CA","1600000US0633000","","","","","","13.58258804"
"Henderson","NV","1600000US3231900","","","","","","#N/A"
"Hialeah","FL","1600000US1230000","","","","","","8.569578295"
"High Point","NC","1600000US3731400","","","","","","#N/A"
"Hollywood","FL","1600000US1232000","","","","","","9.162687086"
"Honolulu","HI","1600000US1571550","","","","","","0.375603854"
"Houston","TX","1600000US4835000","","","","","","1.043826368"
"Huntington Beach","CA","1600000US0636000","","","","","","4.370625834"
"Huntsville","AL","1600000US0137000","","","","","","#N/A"
